,Family,Genus,Species,Flight_Call,Season,Habitat,Stratum,collisions,collisions_days
124,Passerellidae,pipilo,erythrophthalmus,no,autumn,edge,lower,18,18
125,Passerellidae,ammospiza,nelsoni,yes,spring,open,lower,17,16
126,Parulidae,geothlypis,formosa,yes,spring,forest,lower,16,16
127,Passerellidae,ammospiza,leconteii,yes,autumn,open,lower,16,16
128,Parulidae,parkesia,motacilla,yes,spring,forest,lower,15,15
129,Parulidae,setophaga,petechia,yes,autumn,edge,upper,15,15
130,Parulidae,vermivora,cyanoptera,yes,spring,edge,upper,14,14
131,Icteriidae,icteria,virens,no,spring,edge,lower,14,14
132,Tyrannidae,sayornis,phoebe,no,spring,edge,upper,14,13
133,Passerellidae,ammodramus,savannarum,yes,autumn,open,lower,13,13
134,Icteridae,icterus,galbula,yes,autumn,edge,upper,12,11
135,Parulidae,setophaga,pinus,yes,spring,forest,upper,12,12
136,Sittidae,sitta,canadensis,yes,spring,forest,upper,11,11
137,Vireonidae,vireo,philadelphicus,no,autumn,forest,upper,11,11
138,Icteridae,sturnella,magna,yes,spring,open,lower,11,11
139,Tyrannidae,sayornis,phoebe,no,autumn,edge,upper,10,10
140,Vireonidae,vireo,solitarius,no,autumn,forest,upper,10,10
141,Passerellidae,pooecetes,gramineus,yes,spring,open,lower,9,8
142,Passerellidae,ammospiza,leconteii,yes,spring,open,lower,9,9
143,Vireonidae,vireo,solitarius,no,spring,forest,upper,8,8
144,Cardinalidae,piranga,rubra,yes,spring,forest,upper,8,8
145,Passerellidae,centronyx,henslowii,yes,spring,open,lower,8,8
146,Vireonidae,vireo,flavifrons,no,autumn,forest,upper,7,7
147,Tyrannidae,empidonax,virescens,no,spring,forest,upper,7,6
148,Polioptilidae,polioptila,caerulea,no,spring,forest,upper,6,6
149,Parulidae,protonotaria,citrea,yes,spring,forest,upper,6,6
150,Icteridae,icterus,spurius,yes,spring,edge,upper,5,5
151,Vireonidae,vireo,flavifrons,no,spring,forest,upper,5,5
152,Parulidae,setophaga,citrina,yes,spring,forest,upper,4,4
153,Tyrannidae,tyrannus,tyrannus,no,spring,open,upper,4,4
154,Parulidae,setophaga,cerulea,yes,spring,forest,upper,3,3
